Tile,class,x,y
C9234,1,292500,434500
C9334,1,293500,434500
C9434,1,294500,434500
C9534,1,295500,434500
C9634,1,296500,434500
C9734,1,297500,434500
C9834,1,298500,434500
C9934,1,299500,434500
D0034,1,300500,434500
D0134,1,301500,434500
D0234,1,302500,434500
D0334,1,303500,434500
D0434,1,304500,434500
D0534,1,305500,434500
D0634,2,306500,434500
D0734,2,307500,434500
D0834,2,308500,434500
D0934,1,309500,434500
D1034,1,310500,434500
D1134,2,311500,434500
D1234,1,312500,434500
D1334,4,313500,434500
D1434,4,314500,434500
D1534,4,315500,434500
D1634,2,316500,434500
D1734,4,317500,434500
D1834,1,318500,434500
D1934,1,319500,434500
D2034,1,320500,434500
D2134,1,321500,434500
D2234,1,322500,434500
D2334,1,323500,434500
D2434,1,324500,434500
D2534,4,325500,434500
D2634,1,326500,434500
C6533,2,265500,433500
C6633,2,266500,433500
C6733,2,267500,433500
C6833,2,268500,433500
C6933,2,269500,433500
C7033,2,270500,433500
C7133,2,271500,433500
C7233,1,272500,433500
C7333,1,273500,433500
C7433,1,274500,433500
C7533,1,275500,433500
C7633,1,276500,433500
C7733,1,277500,433500
C7833,1,278500,433500
C7933,1,279500,433500
C8033,1,280500,433500
C8133,1,281500,433500
C8233,1,282500,433500
C8333,1,283500,433500
C8433,1,284500,433500
C8533,1,285500,433500
C8633,1,286500,433500
C8733,1,287500,433500
C8833,1,288500,433500
C8933,1,289500,433500
C9033,1,290500,433500
C9133,1,291500,433500
C9233,1,292500,433500
C9333,1,293500,433500
C9433,1,294500,433500
C9533,1,295500,433500
C9633,1,296500,433500
C9733,1,297500,433500
C9833,1,298500,433500
C9933,1,299500,433500
D0033,1,300500,433500
D0133,1,301500,433500
D0233,1,302500,433500
D0333,1,303500,433500
D0433,1,304500,433500
D0533,1,305500,433500
D0633,1,306500,433500
D0733,1,307500,433500
D0833,2,308500,433500
D0933,1,309500,433500
D1033,1,310500,433500
D1133,1,311500,433500
D1233,1,312500,433500
D1333,4,313500,433500
D1433,4,314500,433500
D1533,2,315500,433500
D1633,1,316500,433500
D1733,1,317500,433500
D1833,1,318500,433500
D1933,1,319500,433500
D2033,1,320500,433500
D2133,1,321500,433500
D2233,1,322500,433500
D2333,1,323500,433500
D2433,2,324500,433500
D2533,2,325500,433500
D2633,1,326500,433500
C6432,1,264500,432500
C6532,2,265500,432500
C6632,2,266500,432500
C6732,2,267500,432500
