fid,Tile,Class_max,Version,xcoord,ycoord,COUNTY_ID,CountyName,Area_SqKM,OBJECTID,,CountyName,Class_max,,
215,H3896,5,Radon_Atlas_NI_V1,238500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
216,H3996,5,Radon_Atlas_NI_V1,239500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
217,H4096,5,Radon_Atlas_NI_V1,240500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
218,H4196,4,Radon_Atlas_NI_V1,241500,396500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
219,H4296,3,Radon_Atlas_NI_V1,242500,396500,6,TYRONE,3265.796622,1,,TYRONE,3.00,,
220,H4396,5,Radon_Atlas_NI_V1,243500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
221,H4496,5,Radon_Atlas_NI_V1,244500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
222,H4596,5,Radon_Atlas_NI_V1,245500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
223,H4696,5,Radon_Atlas_NI_V1,246500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
224,H4796,5,Radon_Atlas_NI_V1,247500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
225,H4896,5,Radon_Atlas_NI_V1,248500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
226,H4996,5,Radon_Atlas_NI_V1,249500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
227,H5096,4,Radon_Atlas_NI_V1,250500,396500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
228,H5196,4,Radon_Atlas_NI_V1,251500,396500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
229,H5296,4,Radon_Atlas_NI_V1,252500,396500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
230,H5396,5,Radon_Atlas_NI_V1,253500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
231,H5496,5,Radon_Atlas_NI_V1,254500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
232,H5596,5,Radon_Atlas_NI_V1,255500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
233,H5696,5,Radon_Atlas_NI_V1,256500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
234,H5796,5,Radon_Atlas_NI_V1,257500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
235,H5896,5,Radon_Atlas_NI_V1,258500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
236,H5996,5,Radon_Atlas_NI_V1,259500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
